timestamp,sleep_hours,screen_time_before_sleep,notifications_night,heart_rate,steps_today,sleep_score,deep_sleep_hours,night_phone_usage,sleep_interruption,wake_time,noise_level,ambient_light_level
2024-01-01,7.7,10,8,60.0,8803,86.3,2.7,16.6,2,6.96,4,0
2024-01-02,7.4,10,7,68.2,11442,83.9,1.2,16.8,1,6.07,4,2
2024-01-03,7.8,10,4,53.2,6403,87.0,1.9,53.5,0,7.25,1,5
2024-01-04,8.1,10,7,55.4,6320,90.2,2.1,32.1,1,6.23,4,3
2024-01-05,7.4,10,6,61.7,5951,84.0,2.1,57.2,1,7.3,0,4
2024-01-06,7.4,13,12,64.8,7324,81.6,2.2,12.5,3,6.48,2,1
2024-01-07,8.1,10,8,65.4,10530,92.7,2.4,18.7,1,5.32,0,1
2024-01-08,7.8,10,7,63.2,5771,88.7,2.1,0.0,2,5.91,6,4
2024-01-09,7.3,24,10,75.7,7012,78.2,1.9,7.9,1,6.36,3,3
2024-01-10,7.7,23,13,54.5,9951,81.6,1.9,48.5,1,7.79,7,0
2024-01-11,7.3,10,6,73.7,9247,81.5,1.8,12.2,3,7.42,5,1
2024-01-12,7.3,10,7,56.8,7000,81.0,2.5,48.8,2,8.0,4,5
2024-01-13,7.6,10,3,59.3,7578,87.0,1.8,1.3,0,8.02,2,1
2024-01-14,6.7,10,12,69.1,9831,72.7,2.5,4.2,0,6.27,1,4
2024-01-15,6.8,35,10,74.2,11163,72.0,2.1,14.9,2,6.55,4,2
2024-01-16,7.3,10,14,60.9,11402,78.4,1.8,19.0,1,6.37,3,2
2024-01-17,7.1,10,12,67.3,10759,77.7,2.4,33.8,0,6.16,0,3
2024-01-18,7.6,10,5,59.7,6659,86.5,1.7,26.8,0,5.23,0,0
2024-01-19,7.1,26,9,50.0,11637,75.0,2.4,13.8,2,6.69,1,0
2024-01-20,6.9,10,12,65.1,6522,76.4,2.2,18.0,2,5.67,7,3
2024-01-21,8.1,10,7,51.0,4697,88.3,1.8,15.2,1,6.67,7,1
