timestamp,screen_time,productive_usage,social_usage,gaming_usage,notifications,unlock_count,study_score,study_hours,app_switching_frequency,notifications_during_study,break_frequency,phone_usage_during_study,completed_tasks
2024-01-01,242,91,15,48,27,59,59.1,4.0,15,4,1,34.4,4
2024-01-02,233,95,38,38,19,65,61.6,3.3,19,8,2,25.9,5
2024-01-03,230,92,32,32,25,49,62.6,4.2,14,8,2,31.9,4
2024-01-04,232,95,24,40,23,59,63.5,5.2,18,10,2,47.9,6
2024-01-05,240,94,30,53,23,63,59.3,3.2,5,1,3,58.0,10
2024-01-06,260,107,26,49,24,68,69.6,3.2,22,11,4,45.3,4
2024-01-07,243,93,42,41,24,65,57.6,5.2,20,0,3,36.8,9
2024-01-08,235,80,36,46,19,59,50.5,4.3,13,5,1,62.0,4
2024-01-09,234,96,21,67,27,59,59.5,3.0,25,6,5,29.4,3
2024-01-10,266,97,20,61,25,64,61.2,4.1,28,11,2,53.6,8
2024-01-11,253,82,32,68,23,55,48.4,3.0,7,8,3,29.8,9
2024-01-12,255,81,31,43,24,65,49.6,3.0,14,1,4,42.8,9
2024-01-13,252,99,35,58,24,60,62.4,3.8,14,3,3,33.0,2
2024-01-14,240,84,29,57,27,56,51.3,1.4,12,9,5,34.0,5
2024-01-15,259,86,25,65,20,66,51.8,1.6,27,8,4,28.2,8
2024-01-16,219,85,35,50,21,56,53.9,2.9,18,5,2,59.2,6
2024-01-17,264,92,35,42,31,62,56.4,2.4,18,6,6,21.8,3
2024-01-18,252,101,41,41,25,64,64.1,3.8,4,11,3,21.7,7
2024-01-19,248,96,36,50,25,61,60.5,2.5,25,5,3,73.2,4
2024-01-20,229,85,24,51,22,58,54.6,1.9,10,8,4,52.6,11
2024-01-21,255,103,33,53,23,69,64.9,5.1,20,19,3,0.0,11
2024-01-22,258,98,28,36,27,66,63.7,3.3,22,1,4,24.8,8
2024-01-23,230,100,23,63,22,59,64.3,3.6,31,0,7,2.4,10
2024-01-24,231,99,16,37,23,53,69.9,1.9,10,12,3,17.9,6
2024-01-25,225,84,49,63,24,52,49.2,2.9,2,5,3,0.0,8
